region_id,cgfr_5,cgfr_10,cgfr_25,cgfr_50,cgfr_75,cgfr_100,cgfr_125,cgfr_150,cgfr_175,cgfr_200
LK,0.5325,0.502,0.486,0.4869,0.4913,0.4962,0.5011,0.5059,0.5105,0.5148
GB,0.5817,0.5376,0.5065,0.5024,0.5076,0.515,0.5229,0.5306,0.5378,0.5443
BR,0.6341,0.5984,0.5801,0.5808,0.5887,0.599,0.6098,0.6205,0.6307,0.6403
RO,0.556,0.513,0.4752,0.4641,0.4674,0.4745,0.4828,0.4911,0.4992,0.5069
DK,0.5811,0.5358,0.5034,0.497,0.4994,0.5042,0.51,0.5159,0.5217,0.5271
AE,0.1846,0.1738,0.171,0.1765,0.1816,0.1855,0.1884,0.1907,0.1925,0.1939
NP,0.5525,0.5315,0.5277,0.5377,0.5474,0.5558,0.5631,0.5697,0.5757,0.5812
ZW,0.6145,0.61,0.6168,0.642,0.6648,0.6841,0.7009,0.7153,0.7281,0.7395
KN,,,,,,,,,,
GD,0.7323,0.7344,0.7719,0.8345,0.8811,0.9193,0.9504,0.9771,1.0008,1.021
LV,0.5565,0.5174,0.488,0.4875,0.4978,0.5095,0.5204,0.5304,0.5392,0.547
RS,0.5046,0.4818,0.4721,0.4733,0.4796,0.4878,0.4967,0.5055,0.5142,0.5223
UY,0.6114,0.5818,0.5605,0.559,0.5682,0.5801,0.5923,0.604,0.6148,0.6246
SA,0.1629,0.1614,0.1659,0.1752,0.1816,0.1862,0.1897,0.1924,0.1947,0.1967
SB,0.577,0.5892,0.6382,0.7066,0.7569,0.7973,0.8306,0.8591,0.8834,0.9047
TG,0.533,0.571,0.6747,0.8003,0.8773,0.931,0.9716,1.0037,1.03,1.0525
AD,0.6073,0.5549,0.5222,0.5405,0.5646,0.5849,0.6016,0.6146,0.6256,0.6342
TT,0.704,0.6846,0.6856,0.7103,0.7367,0.7613,0.7834,0.8034,0.8213,0.8374
BZ,0.6594,0.6376,0.6311,0.6477,0.6683,0.6883,0.7066,0.7231,0.7382,0.7519
